Package                       Version
rqt-robot-monitor             0.5.14
rqt_robot_steering            0.5.12
rqt_runtime_monitor           0.5.9
rqt-rviz                      0.7.0
rqt_service_caller            0.4.10
rqt_shell                     0.4.11
rqt_srv                       0.4.9
rqt_tf_tree                   0.6.3
rqt_top                       0.4.10
rqt_topic                     0.4.13
rqt_web                       0.4.10
rviz                          1.14.20
scikit-learn                  1.3.2
scipy                         1.10.1
seaborn                       0.12.2
sensor-msgs                   1.13.1
setuptools                    68.2.2
six                           1.16.0
smach                         2.5.2
smach-ros                     2.5.2
smclib                        1.8.6
smmap                         5.0.1
snowballstemmer               2.2.0
srdfdom                       0.6.4
sympy                         1.12
tenacity                      8.2.2
tf                            1.13.2
tf-conversions                1.13.2
tf2-geometry-msgs             0.7.6
tf2-kdl                       0.7.6
tf2-py                        0.7.6
tf2-ros                       0.7.6
thop                          0.1.1.post2209072238
threadpoolctl                 3.2.0
tiktoken                      0.4.0
timeout-decorator             0.5.0
toml                          0.10.2
tomli                         2.0.1
tomlkit                       0.11.6
topic-tools                   1.16.0
torch                         2.0.1
torchvision                   0.15.2
tornado                       6.3.3
tqdm                          4.65.0
typing_extensions             4.5.0
tzdata                        2023.3
ujson                         5.7.0
ultralytics                   8.0.183
urdfdom-py                    0.4.6
urllib3                       2.0.3
virtualenv                    20.23.0
Werkzeug                      2.3.6
whatthepatch                  1.0.4
wheel                         0.41.2
wrapt                         1.15.0
xacro                         1.14.16
yapf                          0.32.0
yarl                          1.9.2
zipp                          3.16.2
